total number of words in words.txt = 235886 
largest string index is 24 
in Display 
  10) Largest string is formaldehydesulphoxylate	 with string length=24 
  10) Largest string is pathologicopsychological	 with string length=24 
  10) Largest string is scientificophilosophical	 with string length=24 
  10) Largest string is tetraiodophenolphthalein	 with string length=24 
  10) Largest string is thyroparathyroidectomize	 with string length=24 
   9) Largest string is anthropomorphologically	 with string length=23 
   9) Largest string is blepharosphincterectomy	 with string length=23 
   9) Largest string is epididymodeferentectomy	 with string length=23 
   9) Largest string is formaldehydesulphoxylic	 with string length=23 
   9) Largest string is gastroenteroanastomosis	 with string length=23 
   9) Largest string is hematospectrophotometer	 with string length=23 
   9) Largest string is macracanthrorhynchiasis	 with string length=23 
   9) Largest string is pancreaticoduodenostomy	 with string length=23 
   9) Largest string is pathologicohistological	 with string length=23 
   9) Largest string is pericardiomediastinitis	 with string length=23 
   9) Largest string is phenolsulphonephthalein	 with string length=23 
   9) Largest string is philosophicotheological	 with string length=23 
   9) Largest string is Pseudolamellibranchiata	 with string length=23 
   9) Largest string is pseudolamellibranchiate	 with string length=23 
   9) Largest string is scientificogeographical	 with string length=23 
   9) Largest string is thymolsulphonephthalein	 with string length=23 
   9) Largest string is transubstantiationalist	 with string length=23 
   8) Largest string is anatomicophysiological	 with string length=22 
   8) Largest string is aquopentamminecobaltic	 with string length=22 
   8) Largest string is blepharoconjunctivitis	 with string length=22 
   8) Largest string is cholecystenterorrhaphy	 with string length=22 
   8) Largest string is cholecystoduodenostomy	 with string length=22 
   8) Largest string is choledochoduodenostomy	 with string length=22 
   8) Largest string is counterexcommunication	 with string length=22 
   8) Largest string is dacryocystoblennorrhea	 with string length=22 
   8) Largest string is dacryocystosyringotomy	 with string length=22 
   8) Largest string is deanthropomorphization	 with string length=22 
   8) Largest string is duodenocholecystostomy	 with string length=22 
   8) Largest string is electroencephalography	 with string length=22 
   8) Largest string is electrotelethermometer	 with string length=22 
   8) Largest string is hexamethylenetetramine	 with string length=22 
   8) Largest string is hexanitrodiphenylamine	 with string length=22 
   8) Largest string is historicocabbalistical	 with string length=22 
   8) Largest string is hydropneumopericardium	 with string length=22 
   8) Largest string is hyperconscientiousness	 with string length=22 
   8) Largest string is laparocolpohysterotomy	 with string length=22 
   8) Largest string is lymphangioendothelioma	 with string length=22 
   8) Largest string is microcryptocrystalline	 with string length=22 
